epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1211.05,1.44913,2.35924,1.61607,0.42367,0.27769,0.26649,0.11444,1.96721,3.82502,2.70337,0.000552417,0.000552417,0.000552417
1,1443.82,1.63297,2.85423,1.8491,0.35542,0.34152,0.29549,0.12951,1.9984,3.53556,2.51325,0.000555259,0.000555259,0.000555259
2,1996.47,1.57408,2.1511,1.75374,0.36666,0.38637,0.31043,0.12709,1.85864,3.57023,2.28137,0.00108614,0.00108614,0.00108614
3,2951.9,1.66014,2.10233,1.79817,0.27336,0.34675,0.21474,0.08636,2.12075,3.91366,2.51002,0.00159787,0.00159787,0.00159787
4,4154.34,1.63156,1.9802,1.76811,0.5581,0.38693,0.42641,0.19865,1.84757,2.09071,2.13396,0.00156798,0.00156798,0.00156798
5,5341.67,1.59931,1.86458,1.7517,0.49068,0.44507,0.4194,0.18241,1.92339,2.22267,2.26272,0.00153497,0.00153497,0.00153497
6,6618.56,1.56533,1.81174,1.71493,0.61602,0.5374,0.56818,0.27676,1.7605,1.82725,2.10463,0.00150197,0.00150197,0.00150197
7,7431.82,1.51703,1.70227,1.68021,0.64291,0.5632,0.59428,0.31847,1.59812,1.68416,1.91857,0.00146896,0.00146896,0.00146896
8,8354.3,1.5066,1.60719,1.66835,0.73523,0.59774,0.66566,0.36601,1.59023,1.50908,1.88062,0.00143595,0.00143595,0.00143595
9,9237.92,1.46776,1.59393,1.62723,0.69707,0.61702,0.67181,0.36069,1.58679,1.44537,1.88332,0.00140295,0.00140295,0.00140295
10,10185,1.43897,1.49283,1.59842,0.73085,0.62962,0.69102,0.38006,1.55386,1.38032,1.84335,0.00136994,0.00136994,0.00136994
11,12145.7,1.42981,1.50192,1.61669,0.73531,0.60496,0.67717,0.35312,1.62953,1.42013,1.9084,0.00133693,0.00133693,0.00133693
12,14121.6,1.39939,1.46275,1.57321,0.68116,0.59616,0.6257,0.31018,1.69172,1.54753,1.95379,0.00130393,0.00130393,0.00130393
13,15065.1,1.37372,1.41049,1.55934,0.75136,0.65235,0.72766,0.40871,1.5011,1.33323,1.78932,0.00127092,0.00127092,0.00127092
14,15734.9,1.35088,1.34352,1.55442,0.71402,0.59729,0.65635,0.35676,1.61209,1.49745,1.91817,0.00123791,0.00123791,0.00123791
15,16624.2,1.3447,1.32586,1.5299,0.79037,0.66571,0.73343,0.41752,1.47758,1.322,1.79632,0.00120491,0.00120491,0.00120491
